PRODUCTID,PRODUCTNDC,PRODUCTTYPENAME,PROPRIETARYNAME,PROPRIETARYNAMESUFFIX,NONPROPRIETARYNAME,DOSAGEFORMNAME,ROUTENAME,STARTMARKETINGDATE,ENDMARKETINGDATE,MARKETINGCATEGORYNAME,APPLICATIONNUMBER,LABELERNAME,SUBSTANCENAME,ACTIVE_NUMERATOR_STRENGTH,ACTIVE_INGRED_UNIT,PHARM_CLASSES,DEASCHEDULE
0006-3862_9d4c63df-4a74-4ee4-8df0-78b6283591cb,0006-3862,HUMAN PRESCRIPTION DRUG,EMEND,,aprepitant,KIT,,20030326,,NDA,NDA021549,Merck Sharp & Dohme Corp.,,,,,
0006-3915_6145f3e9-40af-4662-896e-5953bff18453,0006-3915,HUMAN PRESCRIPTION DRUG,SINEMET,,carbidopa and levodopa,TABLET,ORAL,19750502,,NDA,NDA017555,Merck Sharp & Dohme Corp.,CARBIDOPA; LEVODOPA,10; 100,mg/1; mg/1,"Aromatic Amino Acid [EPC],Amino Acids, Aromatic [Chemical/Ingredient]",
0006-3916_6145f3e9-40af-4662-896e-5953bff18453,0006-3916,HUMAN PRESCRIPTION DRUG,SINEMET,,carbidopa and levodopa,TABLET,ORAL,19750502,,NDA,NDA017555,Merck Sharp & Dohme Corp.,CARBIDOPA; LEVODOPA,25; 100,mg/1; mg/1,"Aromatic Amino Acid [EPC],Amino Acids, Aromatic [Chemical/Ingredient]",
0006-3917_6145f3e9-40af-4662-896e-5953bff18453,0006-3917,HUMAN PRESCRIPTION DRUG,SINEMET,,carbidopa and levodopa,TABLET,ORAL,19750502,,NDA,NDA017555,Merck Sharp & Dohme Corp.,CARBIDOPA; LEVODOPA,25; 250,mg/1; mg/1,"Aromatic Amino Acid [EPC],Amino Acids, Aromatic [Chemical/Ingredient]",
0006-3918_6f98927f-48cd-4c54-a67d-f318eac3e5fe,0006-3918,HUMAN PRESCRIPTION DRUG,SINEMET,CR,carbidopa and levodopa,"TABLET, EXTENDED RELEASE",ORAL,19910530,,NDA,NDA019856,Merck Sharp & Dohme Corp.,CARBIDOPA; LEVODOPA,25; 100,mg/1; mg/1,"Aromatic Amino Acid [EPC],Amino Acids, Aromatic [Chemical/Ingredient]",
0006-3919_6f98927f-48cd-4c54-a67d-f318eac3e5fe,0006-3919,HUMAN PRESCRIPTION DRUG,SINEMET,CR,carbidopa and levodopa,"TABLET, EXTENDED RELEASE",ORAL,19910530,,NDA,NDA019856,Merck Sharp & Dohme Corp.,CARBIDOPA; LEVODOPA,50; 200,mg/1; mg/1,"Aromatic Amino Acid [EPC],Amino Acids, Aromatic [Chemical/Ingredient]",
0006-3941_8cd0485e-e39f-4502-8dad-31a578310940,0006-3941,HUMAN PRESCRIPTION DRUG,EMEND,,FOSAPREPITANT DIMEGLUMINE,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,20101112,,NDA,NDA022023,Merck Sharp & Dohme Corp.,FOSAPREPITANT DIMEGLUMINE,150,mg/5mL,"Neurokinin 1 Antagonists [MoA],Substance P/Neurokinin-1 Receptor Antagonist [EPC],Cytochrome P450 3A4 Inhibitors [MoA],Cytochrome P450 2C9 Inducers [MoA],Cytochrome P450 3A4 Inducers [MoA]",
0006-4045_eb224f0a-88db-4a63-9020-0bb55682833e,0006-4045,VACCINE,GARDASIL,,"Human Papillomavirus Quadrivalent (Types 6, 11, 16, and 18) Vaccine, Recombinant","INJECTION, SUSPENSION",INTRAMUSCULAR,20060608,,BLA,BLA125126,Merck Sharp & Dohme Corp.,HUMAN PAPILLOMAVIRUS TYPE 6 L1 CAPSID PROTEIN ANTIGEN; HUMAN PAPILLOMAVIRUS TYPE 11 L1 CAPSID PROTEIN ANTIGEN; HUMAN PAPILLOMAVIRUS TYPE 16 L1 CAPSID PROTEIN ANTIGEN; HUMAN PAPILLOMAVIRUS TYPE 18 L1 CAPSID PROTEIN ANTIGEN,20; 40; 40; 20,ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL,"Inactivated Human Papillomavirus Vaccine [EPC],Actively Acquired Immunity [PE],Papillomavirus Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient],Inactivated Human Papillomavirus Vaccine [EPC],Actively Acquired Immunity [PE],Papillomavirus Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient],Inactivated Human Papillomavirus Vaccine [EPC],Actively Acquired Immunity [PE],Papillomavirus Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient],Inactivated Human Papillomavirus Vaccine [EPC],Actively Acquired Immunity [PE],Papillomavirus Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient]",
0006-4047_f4fa79ca-b0fe-49bc-9c58-8b85032b9f7f,0006-4047,VACCINE,RotaTeq,,"Rotavirus Vaccine, Live, Oral, Pentavalent",SOLUTION,ORAL,20060203,,BLA,BLA125122,Merck Sharp & Dohme Corp.,HUMAN ROTAVIRUS A TYPE G1P7(5) STRAIN WI79 LIVE ANTIGEN; HUMAN ROTAVIRUS A TYPE G2P7(5) STRAIN SC2 LIVE ANTIGEN; HUMAN ROTAVIRUS A TYPE G3P7(5) STRAIN WI78 LIVE ANTIGEN; HUMAN ROTAVIRUS A TYPE G4P7(5) STRAIN BRB LIVE ANTIGEN; HUMAN ROTAVIRUS A TYPE G6P1A(8) STRAIN WI79 LIVE ANTIGEN,2200000; 2800000; 2200000; 2000000; 2300000,[iU]/2mL; [iU]/2mL; [iU]/2mL; [iU]/2mL; [iU]/2mL,"Live Rotavirus Vaccine [EPC],Actively Acquired Immunity [PE],Rotavirus Vaccines [Chemical/Ingredient],Vaccines, Live, Unattenuated [Chemical/Ingredient],Live Rotavirus Vaccine [EPC],Actively Acquired Immunity [PE],Rotavirus Vaccines [Chemical/Ingredient],Vaccines, Live, Unattenuated [Chemical/Ingredient],Live Rotavirus Vaccine [EPC],Actively Acquired Immunity [PE],Rotavirus Vaccines [Chemical/Ingredient],Vaccines, Live, Unattenuated [Chemical/Ingredient],Live Rotavirus Vaccine [EPC],Actively Acquired Immunity [PE],Rotavirus Vaccines [Chemical/Ingredient],Vaccines, Live, Unattenuated [Chemical/Ingredient],Live Rotavirus Vaccine [EPC],Actively Acquired Immunity [PE],Rotavirus Vaccines [Chemical/Ingredient],Vaccines, Live, Unattenuated [Chemical/Ingredient]",
0006-4093_1644ba2a-c49d-4c92-afe5-3fd922dbc8ae,0006-4093,VACCINE,RECOMBIVAX HB,,Hepatitis B Vaccine (Recombinant),"INJECTION, SUSPENSION",INTRAMUSCULAR; SUBCUTANEOUS,19860723,,BLA,BLA101066,Merck Sharp & Dohme Corp.,HEPATITIS B VIRUS SUBTYPE ADW HBSAG SURFACE PROTEIN ANTIGEN,5,ug/.5mL,"Inactivated Hepatitis B Virus Vaccine [EPC],Actively Acquired Immunity [PE],Hepatitis B Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient]",
0006-4094_1644ba2a-c49d-4c92-afe5-3fd922dbc8ae,0006-4094,VACCINE,RECOMBIVAX HB,,Hepatitis B Vaccine (Recombinant),"INJECTION, SUSPENSION",INTRAMUSCULAR; SUBCUTANEOUS,19860723,,BLA,BLA101066,Merck Sharp & Dohme Corp.,HEPATITIS B VIRUS SUBTYPE ADW HBSAG SURFACE PROTEIN ANTIGEN,10,ug/mL,"Inactivated Hepatitis B Virus Vaccine [EPC],Actively Acquired Immunity [PE],Hepatitis B Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient]",
0006-4095_9ae11ba9-4ab4-476e-82ad-921333bbdb7d,0006-4095,VACCINE,VAQTA,,"hepatitis A vaccine, inactivated","INJECTION, SUSPENSION",INTRAMUSCULAR,19960329,,BLA,BLA103606,Merck Sharp & Dohme Corp.,HEPATITIS A VIRUS STRAIN CR 326F ANTIGEN (FORMALDEHYDE INACTIVATED),25,[iU]/.5mL,"Inactivated Hepatitis A Virus Vaccine [EPC],Actively Acquired Immunity [PE],Hepatitis A Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient]",
0006-4096_9ae11ba9-4ab4-476e-82ad-921333bbdb7d,0006-4096,VACCINE,VAQTA,,"hepatitis A vaccine, inactivated","INJECTION, SUSPENSION",INTRAMUSCULAR,19960329,,BLA,BLA103606,Merck Sharp & Dohme Corp.,HEPATITIS A VIRUS STRAIN CR 326F ANTIGEN (FORMALDEHYDE INACTIVATED),50,[iU]/mL,"Inactivated Hepatitis A Virus Vaccine [EPC],Actively Acquired Immunity [PE],Hepatitis A Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient]",
0006-4109_eb224f0a-88db-4a63-9020-0bb55682833e,0006-4109,VACCINE,GARDASIL,,"Human Papillomavirus Quadrivalent (Types 6, 11, 16, and 18) Vaccine, Recombinant","INJECTION, SUSPENSION",INTRAMUSCULAR,20060608,,BLA,BLA125126,Merck Sharp & Dohme Corp.,HUMAN PAPILLOMAVIRUS TYPE 6 L1 CAPSID PROTEIN ANTIGEN; HUMAN PAPILLOMAVIRUS TYPE 11 L1 CAPSID PROTEIN ANTIGEN; HUMAN PAPILLOMAVIRUS TYPE 16 L1 CAPSID PROTEIN ANTIGEN; HUMAN PAPILLOMAVIRUS TYPE 18 L1 CAPSID PROTEIN ANTIGEN,20; 40; 40; 20,ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL,"Inactivated Human Papillomavirus Vaccine [EPC],Actively Acquired Immunity [PE],Papillomavirus Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient],Inactivated Human Papillomavirus Vaccine [EPC],Actively Acquired Immunity [PE],Papillomavirus Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient],Inactivated Human Papillomavirus Vaccine [EPC],Actively Acquired Immunity [PE],Papillomavirus Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient],Inactivated Human Papillomavirus Vaccine [EPC],Actively Acquired Immunity [PE],Papillomavirus Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient]",
0006-4119_f9b68e8e-3842-4a15-be21-b500db14b5dd,0006-4119,VACCINE,GARDASIL 9,,"Human Papillomavirus 9-valent Vaccine, Recombinant","INJECTION, SUSPENSION",INTRAMUSCULAR,20141210,,BLA,BLA125508,Merck Sharp & Dohme Corp.,HUMAN PAPILLOMAVIRUS TYPE 6 L1 CAPSID PROTEIN ANTIGEN; HUMAN PAPILLOMAVIRUS TYPE 11 L1 CAPSID PROTEIN ANTIGEN; HUMAN PAPILLOMAVIRUS TYPE 16 L1 CAPSID PROTEIN ANTIGEN; HUMAN PAPILLOMAVIRUS TYPE 18 L1 CAPSID PROTEIN ANTIGEN; HUMAN PAPILLOMAVIRUS TYPE 31 L1 CAPSID PROTEIN ANTIGEN; HUMAN PAPILLOMAVIRUS TYPE 33 L1 CAPSID PROTEIN ANTIGEN; HUMAN PAPILLOMAVIRUS TYPE 45 L1 CAPSID PROTEIN ANTIGEN; HUMAN PAPILLOMAVIRUS TYPE 52 L1 CAPSID PROTEIN ANTIGEN; HUMAN PAPILLOMAVIRUS TYPE 58 L1 CAPSID PROTEIN ANTIGEN,30; 40; 60; 40; 20; 20; 20; 20; 20,ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL,"Inactivated Human Papillomavirus Vaccine [EPC],Actively Acquired Immunity [PE],Papillomavirus Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient],Inactivated Human Papillomavirus Vaccine [EPC],Actively Acquired Immunity [PE],Papillomavirus Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient],Inactivated Human Papillomavirus Vaccine [EPC],Actively Acquired Immunity [PE],Papillomavirus Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient],Inactivated Human Papillomavirus Vaccine [EPC],Actively Acquired Immunity [PE],Papillomavirus Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient]",
0006-4121_f9b68e8e-3842-4a15-be21-b500db14b5dd,0006-4121,VACCINE,GARDASIL 9,,"Human Papillomavirus 9-valent Vaccine, Recombinant","INJECTION, SUSPENSION",INTRAMUSCULAR,20141210,,BLA,BLA125508,Merck Sharp & Dohme Corp.,HUMAN PAPILLOMAVIRUS TYPE 6 L1 CAPSID PROTEIN ANTIGEN; HUMAN PAPILLOMAVIRUS TYPE 11 L1 CAPSID PROTEIN ANTIGEN; HUMAN PAPILLOMAVIRUS TYPE 16 L1 CAPSID PROTEIN ANTIGEN; HUMAN PAPILLOMAVIRUS TYPE 18 L1 CAPSID PROTEIN ANTIGEN; HUMAN PAPILLOMAVIRUS TYPE 31 L1 CAPSID PROTEIN ANTIGEN; HUMAN PAPILLOMAVIRUS TYPE 33 L1 CAPSID PROTEIN ANTIGEN; HUMAN PAPILLOMAVIRUS TYPE 45 L1 CAPSID PROTEIN ANTIGEN; HUMAN PAPILLOMAVIRUS TYPE 52 L1 CAPSID PROTEIN ANTIGEN; HUMAN PAPILLOMAVIRUS TYPE 58 L1 CAPSID PROTEIN ANTIGEN,30; 40; 60; 40; 20; 20; 20; 20; 20,ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL,"Inactivated Human Papillomavirus Vaccine [EPC],Actively Acquired Immunity [PE],Papillomavirus Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient],Inactivated Human Papillomavirus Vaccine [EPC],Actively Acquired Immunity [PE],Papillomavirus Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient],Inactivated Human Papillomavirus Vaccine [EPC],Actively Acquired Immunity [PE],Papillomavirus Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient],Inactivated Human Papillomavirus Vaccine [EPC],Actively Acquired Immunity [PE],Papillomavirus Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient]",
0006-4171_cc108426-2c58-4ca0-948d-be5cd758bd70,0006-4171,VACCINE,ProQuad,,"Measles, Mumps, Rubella and Varicella Virus Vaccine Live","INJECTION, POWDER, LYOPHILIZED, FOR SUSPENSION",SUBCUTANEOUS,20150701,,BLA,BLA125108,Merck Sharp & Dohme Corp.,MEASLES VIRUS STRAIN ENDERS' ATTENUATED EDMONSTON LIVE ANTIGEN; MUMPS VIRUS STRAIN B LEVEL JERYL LYNN LIVE ANTIGEN; RUBELLA VIRUS STRAIN WISTAR RA 27/3 LIVE ANTIGEN; VARICELLA-ZOSTER VIRUS STRAIN OKA/MERCK LIVE ANTIGEN,1000; 20000; 1000; 9772,[TCID_50]/.5mL; [TCID_50]/.5mL; [TCID_50]/.5mL; [PFU]/.5mL,"Live Attenuated Measles Virus Vaccine [EPC],Actively Acquired Immunity [PE],Vaccines, Attenuated [Chemical/Ingredient],Measles Vaccine [Chemical/Ingredient],Live Attenuated Mumps Virus Vaccine [EPC],Actively Acquired Immunity [PE],Vaccines, Attenuated [Chemical/Ingredient],Mumps Vaccine [Chemical/Ingredient],Live Attenuated Rubella Virus Vaccine [EPC],Actively Acquired Immunity [PE],Rubella Vaccine [Chemical/Ingredient],Vaccines, Attenuated [Chemical/Ingredient],Live Attenuated Varicella Zoster Virus Vaccine [EPC],Actively Acquired Immunity [PE],Vaccines, Attenuated [Chemical/Ingredient],Chickenpox Vaccine [Chemical/Ingredient],Live Attenuated Herpes Zoster Virus Vaccine [EPC],Herpes Zoster Vaccine [Chemical/Ingredient]",
0006-4229_b7a32150-e15a-4109-93b8-a2368039e033,0006-4229,STANDARDIZED ALLERGENIC,GRASTEK,,Timothy Grass Pollen Allergen Extract,TABLET,SUBLINGUAL,20140411,,BLA,BLA125473,Merck Sharp & Dohme Corp.,PHLEUM PRATENSE POLLEN,2800,[BAU]/1,"Standardized Pollen Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Pollen [Chemical/Ingredient],Allergens [Chemical/Ingredient]",
0006-4305_80f9dcfe-a91b-405e-ae61-cc2895d43084,0006-4305,HUMAN PRESCRIPTION DRUG,Renflexis,,infliximab,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,20170701,,BLA,BLA761054,Merck Sharp & Dohme Corp.,INFLIXIMAB,100,mg/1,"Tumor Necrosis Factor Blocker [EPC],Tumor Necrosis Factor Receptor Blocking Activity [MoA]",
0006-4309_531fec90-7b36-4a65-87a1-cfde58efbba6,0006-4309,VACCINE,STERILE DILUENT,,Sterile Water,INJECTION,SUBCUTANEOUS,20060525,,BLA,BLA125123,Merck Sharp & Dohme Corp.,,,,,
0006-4681_d773f47d-06b4-4ba9-bb39-4b25e03e0c13,0006-4681,VACCINE,M-M-R II,,"measles, mumps, and rubella virus vaccine live","INJECTION, POWDER, LYOPHILIZED, FOR SUSPENSION",SUBCUTANEOUS,19710421,,BLA,BLA101069,Merck Sharp & Dohme Corp.,MEASLES VIRUS STRAIN ENDERS' ATTENUATED EDMONSTON LIVE ANTIGEN; MUMPS VIRUS STRAIN B LEVEL JERYL LYNN LIVE ANTIGEN; RUBELLA VIRUS STRAIN WISTAR RA 27/3 LIVE ANTIGEN,1000; 12500; 1000,[TCID_50]/.5mL; [TCID_50]/.5mL; [TCID_50]/.5mL,"Live Attenuated Measles Virus Vaccine [EPC],Actively Acquired Immunity [PE],Vaccines, Attenuated [Chemical/Ingredient],Measles Vaccine [Chemical/Ingredient],Live Attenuated Mumps Virus Vaccine [EPC],Actively Acquired Immunity [PE],Vaccines, Attenuated [Chemical/Ingredient],Mumps Vaccine [Chemical/Ingredient],Live Attenuated Rubella Virus Vaccine [EPC],Actively Acquired Immunity [PE],Rubella Vaccine [Chemical/Ingredient],Vaccines, Attenuated [Chemical/Ingredient]",
0006-4739_071f8653-783b-4628-b0f6-7d26317b50ca,0006-4739,VACCINE,PNEUMOVAX 23,,pneumococcal vaccine polyvalent,"INJECTION, SOLUTION",INTRAMUSCULAR; SUBCUTANEOUS,19830707,,BLA,BLA101094,Merck Sharp & Dohme Corp.,STREPTOCOCCUS PNEUMONIAE TYPE 1 CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 2 CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 3 CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 4 CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 5 CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 6B CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 7F CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 8 CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 9N CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 9V CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 10A CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 11A CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 12F CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 14 CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 15B CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 17F CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 18C CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 19F CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 19A CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 20 CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 22F CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 23F CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 33F CAPSULAR POLYSACCHARIDE ANTIGEN,25; 25; 25; 25; 25; 25; 25; 25; 25; 25; 25; 25; 25; 25; 25; 25; 25; 25; 25; 25; 25; 25; 25,ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL,"Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Pneumococcal Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Pneumococcal Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Pneumococcal Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Pneumococcal Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Pneumococcal Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Pneumococcal Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Pneumococcal Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Pneumococcal Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Pneumococcal Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Pneumococcal Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Pneumococcal Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Pneumococcal Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Pneumococcal Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Pneumococcal Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Pneumococcal Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Pneumococcal Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Pneumococcal Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Pneumococcal Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Pneumococcal Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Pneumococcal Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Pneumococcal Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Pneumococcal Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Pneumococcal Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient]",
0006-4826_57f23194-526d-47d5-b2d0-d5cf06c7b544,0006-4826,VACCINE,VARIVAX,,Varicella Virus Vaccine Live,"INJECTION, POWDER, LYOPHILIZED, FOR SUSPENSION",SUBCUTANEOUS,19950317,,BLA,BLA103552,Merck Sharp & Dohme Corp.,VARICELLA-ZOSTER VIRUS STRAIN OKA/MERCK LIVE ANTIGEN,1350,[PFU]/.5mL,"Live Attenuated Varicella Zoster Virus Vaccine [EPC],Actively Acquired Immunity [PE],Vaccines, Attenuated [Chemical/Ingredient],Chickenpox Vaccine [Chemical/Ingredient],Live Attenuated Herpes Zoster Virus Vaccine [EPC],Herpes Zoster Vaccine [Chemical/Ingredient]",
0006-4827_57f23194-526d-47d5-b2d0-d5cf06c7b544,0006-4827,VACCINE,VARIVAX,,Varicella Virus Vaccine Live,"INJECTION, POWDER, LYOPHILIZED, FOR SUSPENSION",SUBCUTANEOUS,19950317,,BLA,BLA103552,Merck Sharp & Dohme Corp.,VARICELLA-ZOSTER VIRUS STRAIN OKA/MERCK LIVE ANTIGEN,1350,[PFU]/.5mL,"Live Attenuated Varicella Zoster Virus Vaccine [EPC],Actively Acquired Immunity [PE],Vaccines, Attenuated [Chemical/Ingredient],Chickenpox Vaccine [Chemical/Ingredient],Live Attenuated Herpes Zoster Virus Vaccine [EPC],Herpes Zoster Vaccine [Chemical/Ingredient]",
0006-4831_9ae11ba9-4ab4-476e-82ad-921333bbdb7d,0006-4831,VACCINE,VAQTA,,"hepatitis A vaccine, inactivated","INJECTION, SUSPENSION",INTRAMUSCULAR,19960329,,BLA,BLA103606,Merck Sharp & Dohme Corp.,HEPATITIS A VIRUS STRAIN CR 326F ANTIGEN (FORMALDEHYDE INACTIVATED),25,[iU]/.5mL,"Inactivated Hepatitis A Virus Vaccine [EPC],Actively Acquired Immunity [PE],Hepatitis A Vaccines [Chemical/Ingredient],Vaccines, Inactivated [Chemical/Ingredient]",
